item_id,order_id,product_id,quantity,unit_price,discount_percent
1,468,422,4,3730.63,48
2,265,445,3,4122.99,32
3,406,82,1,1624.5,32
4,207,70,5,4408.73,1
6,17,234,1,4598.35,45
7,102,141,3,4135.18,32
8,204,326,1,3437.75,15
10,301,283,3,1786.82,16
11,384,426,1,1496.84,24
13,439,114,2,3420.71,17
14,334,210,5,198.26,49
15,496,393,1,2423.08,8
16,332,89,5,4024.24,14
17,130,312,3,3592.43,45
18,330,141,4,4487.87,22
19,236,130,2,2386.82,43
20,267,423,5,2046.05,6
21,4,262,3,2851.14,38
23,33,173,3,3238.91,17
24,134,336,3,1022.96,33
25,392,124,1,4046.61,38
26,207,339,3,3435.7,46
28,465,215,4,2002.55,2
29,299,363,5,4098.47,21
30,372,366,2,3462.96,40
31,402,244,3,2585.84,10
32,431,337,5,987.57,6
33,242,66,3,3653.41,35
34,391,468,2,4739.92,21
35,336,46,2,1840.89,47
36,447,158,4,3961.64,21
38,241,28,5,2943.53,39
39,37,242,2,2552.34,43
40,196,272,3,2124.23,9
41,71,103,3,2105.04,36
42,458,465,4,801.8,45
43,93,399,1,2489.15,40
44,91,161,1,123.1,17
45,108,390,2,2923.77,10
46,251,403,1,734.09,27
47,325,220,4,2202.22,30
48,197,3,1,2715.53,46
49,192,487,1,4470.83,48
50,427,272,2,187.79,0
51,321,376,2,1208.7,22
53,157,86,1,4136.83,19
54,486,149,4,3666.38,38
55,269,173,4,4451.07,8
56,176,462,4,1860.33,12
57,85,486,4,193.71,14
58,373,68,2,3696.98,37
59,259,87,1,1896.3,41
60,406,20,4,4395.07,16
61,395,274,5,338.08,3
62,339,56,1,336.35,7
63,214,228,4,705.62,16
64,243,360,2,1106.93,43
65,323,5,3,2162.27,6
66,340,267,3,3151.71,44
67,71,215,1,2606.77,39
68,61,145,1,3945.32,31
69,102,312,2,3912.0,33
70,499,104,3,3546.84,18
71,83,21,5,2532.14,13
72,353,478,4,1719.96,0
73,7,344,1,4543.71,36
74,343,253,2,4752.29,49
75,262,39,1,4533.42,41
76,119,234,3,1394.21,3
77,52,417,2,4383.29,18
78,185,411,3,2187.38,7
80,340,332,2,1710.44,28
81,490,319,3,4404.53,5
83,205,493,4,1431.98,24
84,354,436,4,4019.51,41
85,454,409,2,653.98,44
86,372,31,2,608.19,37
87,248,411,5,3424.13,11
88,313,195,3,3095.66,43
89,451,430,2,2467.09,31
90,58,455,4,2259.37,4
91,134,336,3,160.57,43
93,490,343,3,2643.59,44
94,359,317,1,2220.95,46
95,128,247,3,3352.18,41
96,198,77,5,4471.1,39
98,437,254,2,466.84,31
99,165,124,3,4853.71,3
100,260,115,5,3252.25,25
102,230,46,4,2290.63,7
103,255,382,1,602.95,26
104,19,286,5,100.83,5
105,406,310,5,3223.94,32
106,288,106,4,4756.74,23
107,423,28,2,4237.16,21
108,287,393,5,3039.76,45
109,337,187,4,658.71,48
110,338,114,1,1772.65,40
111,494,410,3,2783.68,23
112,360,55,1,4494.7,31
113,72,421,4,624.11,39
114,101,97,1,4658.06,25
115,111,235,2,3612.26,6
116,388,213,1,4640.47,43
117,302,64,4,2341.2,37
118,490,259,2,4822.89,0
119,272,377,1,2810.81,27
120,430,300,4,4629.42,49
122,375,418,2,607.41,42
123,308,311,3,2570.14,24
125,497,151,4,4043.5,8
126,212,309,5,1564.67,44
127,281,441,3,3588.18,35
128,324,112,2,1127.59,45
129,149,352,3,4613.84,8
130,364,333,2,2569.08,44
131,327,166,1,3827.8,35
132,246,299,5,4719.1,45
133,214,346,5,1501.05,27
134,414,7,5,621.71,24
135,75,28,1,1079.52,48
136,403,83,3,3448.61,9
137,430,32,3,1099.6,34
138,17,184,4,602.15,43
139,379,288,2,3737.82,35
140,200,122,5,3943.11,44
