order_id,customer_id,order_date,status,region_code
1,12.0,2025-07-20 21:41:01,CANCELLED,EAST
2,419.0,2025-11-15 03:41:22,PLACED,SOUTH
3,297.0,2026-03-30 12:20:20,PLACED,NORTH
4,217.0,2026-02-28 05:48:05,DELIVERED,NORTH
5,278.0,2025-10-10 14:54:44,PLACED,NORTH
6,479.0,2024-11-17 05:25:04,CANCELLED,NORTH
7,,2025-07-29 15:31:32,CANCELLED,SOUTH
8,394.0,2025-06-10 00:51:03,SHIPPED,WEST
9,192.0,2024-11-26 22:36:56,CANCELLED,WEST
10,446.0,2026-06-12 02:17:19,CANCELLED,WEST
11,42.0,12-11-2025,RETURNED,SOUTH
12,335.0,2026-06-25 23:48:13,DELIVERED,NORTH
13,92.0,2026-01-07 15:43:16,RETURNED,WEST
14,271.0,2025-07-07 06:28:41,SHIPPED,SOUTH
15,428.0,2025-04-07 04:09:34,PLACED,NORTH
16,153.0,2024-12-25 22:09:36,CANCELLED,WEST
17,273.0,2025-07-10 07:02:11,CANCELLED,SOUTH
18,127.0,2024-09-02 23:58:48,CANCELLED,EAST
19,80.0,2025-04-14 22:41:19,DELIVERED,SOUTH
20,480.0,2024-08-19 08:25:31,PLACED,NORTH
21,415.0,2024-12-17 02:59:31,CANCELLED,NORTH
22,124.0,2026-05-13 03:44:47,SHIPPED,NORTH
23,52.0,2025-04-08 23:12:49,RETURNED,NORTH
24,229.0,2025-06-27 04:01:53,RETURNED,NORTH
25,126.0,2025-06-16 04:31:08,PLACED,WEST
26,225.0,22-08-2024,SHIPPED,SOUTH
27,387.0,2026-07-05 09:09:27,PLACED,SOUTH
28,258.0,2025-03-12 19:23:14,DELIVERED,SOUTH
29,418.0,2025-12-15 03:29:40,RETURNED,EAST
30,296.0,2025-08-03 22:23:16,RETURNED,EAST
31,122.0,2026-03-17 02:54:14,DELIVERED,SOUTH
32,339.0,2026-03-20 22:30:29,RETURNED,SOUTH
33,212.0,2025-01-27 10:15:33,DELIVERED,EAST
34,32.0,2025-08-20 17:12:44,RETURNED,SOUTH
35,321.0,2024-11-23 01:46:47,CANCELLED,WEST
36,25.0,2025-11-08 13:51:00,DELIVERED,WEST
37,403.0,2025-04-11 22:08:09,RETURNED,EAST
38,357.0,2025-11-08 07:54:39,CANCELLED,WEST
39,77.0,2026-03-21 08:58:15,DELIVERED,WEST
40,95.0,2025-07-31 11:48:51,RETURNED,WEST
41,124.0,2025-04-19 23:32:37,SHIPPED,EAST
42,440.0,2026-05-12 19:16:01,SHIPPED,WEST
43,469.0,2025-07-31 06:42:38,PLACED,WEST
44,496.0,2025-04-02 20:46:00,CANCELLED,SOUTH
45,199.0,2026-04-13 22:22:07,SHIPPED,EAST
46,105.0,2025-07-09 17:21:05,DELIVERED,NORTH
47,473.0,2025-07-06 06:03:03,CANCELLED,EAST
48,48.0,2025-10-03 10:39:54,RETURNED,SOUTH
49,27.0,2025-07-20 15:53:36,DELIVERED,WEST
50,345.0,2024-10-28 14:15:14,RETURNED,NORTH
51,448.0,2024-11-17 01:15:00,PLACED,SOUTH
52,,2024-09-13 09:24:07,RETURNED,SOUTH
53,246.0,2025-11-01 03:03:29,SHIPPED,EAST
54,156.0,2024-12-20 14:08:40,PLACED,SOUTH
55,,2024-12-02 14:40:08,SHIPPED,NORTH
56,383.0,2025-04-09 16:14:49,CANCELLED,SOUTH
57,357.0,2025-12-25 01:20:06,RETURNED,SOUTH
58,,2024-10-13 12:26:13,SHIPPED,EAST
59,398.0,2025-01-03 08:14:58,DELIVERED,WEST
60,239.0,2026-03-03 15:01:03,RETURNED,EAST
61,158.0,2025-12-27 05:06:17,DELIVERED,EAST
62,263.0,2025-07-05 19:38:49,CANCELLED,WEST
63,51.0,2025-07-03 20:16:36,CANCELLED,EAST
64,469.0,2024-12-19 23:53:19,SHIPPED,EAST
65,161.0,2024-11-13 20:49:13,CANCELLED,NORTH
66,289.0,2026-03-19 20:05:00,SHIPPED,SOUTH
67,9.0,2024-08-04 11:26:29,DELIVERED,WEST
68,152.0,2024-08-19 14:18:50,SHIPPED,SOUTH
69,169.0,2025-09-11 00:01:06,SHIPPED,WEST
70,292.0,2024-11-13 18:46:01,SHIPPED,WEST
71,282.0,2025-10-21 22:43:43,DELIVERED,EAST
72,391.0,2024-08-16 17:00:13,CANCELLED,WEST
73,236.0,2025-09-10 02:40:44,SHIPPED,EAST
74,87.0,2024-08-28 22:09:02,SHIPPED,WEST
75,95.0,2025-01-23 17:36:44,RETURNED,NORTH
76,,2024-11-27 14:15:36,PLACED,NORTH
77,,2026-06-19 01:18:10,PLACED,NORTH
78,212.0,2025-09-29 21:34:36,SHIPPED,SOUTH
79,35.0,2025-09-03 18:46:31,SHIPPED,NORTH
80,112.0,2024-08-01 16:21:57,RETURNED,WEST
81,192.0,2025-12-26 16:41:10,PLACED,WEST
82,338.0,2025-11-14 11:19:30,CANCELLED,NORTH
83,4.0,2025-02-11 03:19:07,RETURNED,WEST
84,7.0,2024-09-19 17:13:47,PLACED,EAST
85,275.0,2025-06-12 05:08:45,DELIVERED,NORTH
86,258.0,2026-07-14 06:47:51,CANCELLED,SOUTH
87,55.0,2026-04-13 15:03:27,PLACED,SOUTH
88,124.0,2024-11-20 16:13:23,SHIPPED,EAST
89,418.0,2026-03-17 15:27:50,DELIVERED,EAST
90,408.0,2025-09-30 23:32:39,CANCELLED,NORTH
91,192.0,2026-02-19 12:45:21,CANCELLED,WEST
92,290.0,2026-03-10 09:43:10,SHIPPED,SOUTH
93,154.0,2024-11-28 22:38:02,PLACED,NORTH
94,48.0,2025-11-12 22:34:24,CANCELLED,WEST
95,194.0,2025-01-28 07:22:41,RETURNED,WEST
96,29.0,2025-12-30 02:01:25,PLACED,SOUTH
97,43.0,2025-03-26 09:28:35,CANCELLED,WEST
98,331.0,2025-06-15 07:56:57,DELIVERED,NORTH
99,459.0,2025-09-23 11:58:25,RETURNED,NORTH
100,118.0,2025-01-02 22:54:48,SHIPPED,WEST
101,139.0,2025-04-26 15:39:39,PLACED,NORTH
102,351.0,2024-10-06 09:19:38,DELIVERED,NORTH
103,92.0,2024-12-13 21:24:21,DELIVERED,NORTH
104,493.0,2026-04-07 23:52:38,SHIPPED,SOUTH
105,386.0,2025-07-22 12:07:02,CANCELLED,NORTH
106,154.0,2025-05-21 17:34:22,SHIPPED,SOUTH
107,291.0,2024-11-05 07:57:48,CANCELLED,EAST
108,197.0,2024-09-27 10:11:19,SHIPPED,NORTH
109,257.0,2025-07-01 16:38:18,DELIVERED,NORTH
110,51.0,2025-10-11 03:23:53,CANCELLED,SOUTH
111,430.0,2024-08-16 14:17:55,PLACED,EAST
112,310.0,2026-02-11 16:19:47,RETURNED,WEST
113,497.0,2025-07-21 18:03:15,DELIVERED,NORTH
114,325.0,2024-10-12 22:10:10,DELIVERED,WEST
115,252.0,2025-07-06 08:20:41,SHIPPED,EAST
116,284.0,2024-10-22 06:47:27,CANCELLED,WEST
117,96.0,2025-10-02 21:45:22,RETURNED,WEST
118,44.0,2026-03-15 13:38:34,RETURNED,EAST
119,409.0,2026-05-05 07:09:26,SHIPPED,NORTH
120,43.0,2026-02-05 02:35:04,DELIVERED,SOUTH
121,195.0,2025-11-05 07:56:50,SHIPPED,WEST
122,163.0,04-08-2025,DELIVERED,NORTH
123,47.0,2025-04-15 15:12:28,PLACED,EAST
124,228.0,2024-08-19 19:28:02,DELIVERED,EAST
125,53.0,2025-08-10 02:25:02,SHIPPED,NORTH
126,96.0,2025-01-02 17:10:16,CANCELLED,WEST
127,286.0,2026-02-25 03:28:12,RETURNED,WEST
128,53.0,2026-02-15 20:02:16,PLACED,NORTH
129,182.0,2025-04-23 13:35:00,RETURNED,NORTH
130,306.0,2025-09-22 08:50:11,RETURNED,EAST
131,443.0,2026-01-11 15:41:34,CANCELLED,NORTH
132,150.0,2026-01-26 08:52:06,CANCELLED,WEST
133,399.0,2025-12-10 00:16:17,PLACED,SOUTH
134,293.0,2024-09-28 11:03:15,RETURNED,SOUTH
135,351.0,2024-10-24 21:06:09,CANCELLED,SOUTH
136,72.0,2025-07-02 14:56:22,DELIVERED,EAST
137,138.0,2025-01-04 22:13:57,CANCELLED,SOUTH
138,33.0,07-04-2026,SHIPPED,WEST
139,142.0,2025-02-11 00:01:24,CANCELLED,EAST
140,248.0,2026-04-20 12:58:28,PLACED,EAST
141,129.0,2025-05-13 14:07:34,SHIPPED,WEST
142,305.0,2024-12-04 03:45:14,RETURNED,SOUTH
143,235.0,2025-12-19 02:23:07,PLACED,SOUTH
144,156.0,15-02-2026,PLACED,WEST
145,171.0,2025-09-14 06:55:17,RETURNED,WEST
146,412.0,2024-10-13 03:38:34,DELIVERED,WEST
147,,2024-07-24 08:03:03,CANCELLED,SOUTH
148,154.0,2025-11-09 05:07:00,DELIVERED,SOUTH
149,246.0,2025-12-03 11:31:28,DELIVERED,SOUTH
150,494.0,2025-03-06 20:09:56,CANCELLED,EAST
